id,question,choice1,choice2,choice3,choice4,anwer word,answer,explanation,Section
1,Waiter: Who asked for eggs and coffee?Customer: I ___ .,did,got,took,made,did,A,,focus on form
2,"Man: Do you ___ an apple?Woman: Yes, please.",want,wants,to want,wanting,want,A,,focus on form
3,Woman: How far is ___ to the bus stop?Man: Only about a five minute walk.,it,that,this,there,it,A,,focus on form
4,"Woman: How far is ___ to Times Square?Man: You only have to walk about 10 blocks, I think.",it,that,there,this,it,A,,focus on form
5,Man: What are you going to do with all of those apples?Woman: I think ___ a cake.Man: What a great idea!,I make,I'll make,I've made,I was making,I'll make,B,,focus on form
6,"Man: Excuse me – where’s the passport office?Woman: It’s down the street ___ the right, next to the park.",by,on,of,at,on,B,,focus on form
7,Man: Did you watch the basketball game last night?Woman: Yes! It was ___ an exciting game.,so,that,very,such,such,D,,focus on form
8,"Woman: Do you want your coffee with ___ without milk?Man: With milk, please.",or,for,but,and,or,A,,focus on form
9,"Teacher: Have you read many novels this year?Student: No, I haven't read ___ .",some,none,few,any,any,D,,focus on form
10,Woman: Look! There's Jack.Man: Wow! I haven't seen him ___ years.,in,from,since,during,in,A,,focus on form
11,"John Jones lives in ___ the United States with his wife, Mary.",at,in,on,to,in,B,,focus on form
12,"John Jones lives in the United States with ___ wife, Mary.",his,her,their,our,his,A,,focus on form
13,"They ___ two children, Sally and Billy.",has,have,had,having,have,B,,focus on form
14,Sally ___ Billy are their children.,but,and,or,because,and,B,,focus on form
15,The Jones family spends a lot ___ time together on the weekends.,for,on,of,with,of,C,,focus on form
16,The family often goes ___ the park.,at,to,in,on,to,B,,focus on form
17,Mary likes to sit ___ a park bench and watch her family.,at,in,on,to,on,C,,focus on form
18,Sometimes she ___ a piece of bread to give to the birds.,take,takes,taking,took,takes,B,,focus on form
19,People do ___ want flies around their houses.,not,no,never,none,not,A,,focus on form
20,The best way to reduce the fly population is ___ find where their food comes from.,for,to,at,by,to,B,,focus on form
21,Their food comes from ___ to remove it.,try,trying,tried,tries,trying,B,,focus on form
22,"___ this doesn't work, you can try hanging clear plastic bags.",Because,If,When,Although,If,B,,focus on form
23,Plastic bags ___ are filled with water hang over the door.,what,who,that,where,that,C,,focus on form
24,Nobody knows exactly ___ this works.,when,what,why,which,why,C,,focus on form
25,"Man: Where’s Billy?Woman: He’s ___ his bedroom, I think.",in,on,under,between,in,A,,focus on form
26,"Man: How many goals ___ scored in the soccer game yesterday?Woman: Only one, I think.",are,were,have been,were being,were,B,,focus on form
27,Man: Do you want to go running or swimming this weekend?Woman: ___ is fine with me.,All,Both,Every,Either,Either,D,,focus on form
28,Girl: Good news. My mother let me ___ at school until five today.Boy: That’s good. We can study for our test together.,stay,stayed,to stay,staying,stay,A,,focus on form
29,"Man: This is ___ great picture.Woman: Yes, it is.",a,the,some,an,a,A,,focus on form
30,"Man: Is this David’s phone?Woman: Yes, it is ___ phone.",him,his,he,himself,his,B,,focus on form
31,"Woman: Do you live with your parents?Man: No, I live by ___.",my own,me,myself,mine,myself,C,,focus on form
32,"Server: Would you like ___ dessert?Customer: No, thank you. I'm full.",some,a,any,the,some,A,,focus on form
33,Woman: Can I borrow a pen?Man: Sorry! I ___ have one.,can’t,won’t,don’t,didn’t,don’t,C,,focus on form
34,Woman: ___ did you get home last night?Man: I got a taxi.,What,When,Where,How,How,D,,focus on form
35,"Man: Are ___ any bananas on the table?Woman: I'm sorry, I ate the last one.",they,this,it,there,there,D,,focus on form
36,"Woman: Please ___ talk on your phone in this area, sir.Man: I'm sorry. I will go outside.",no,not,isn’t,don’t,don’t,D,,focus on form
37,"Man: Where did you go on vacation?Woman: We went to Florida, and we ___ a great time.",did,had,took,made,had,B,,focus on form
38,"Man: Whose is that fantastic car?Woman: Actually, it’s ___.Man: Lucky you.",theirs,mine,yours,hers,mine,B,,focus on form
39,"Woman: I’ll be back in the office early on Monday.Man: Right. ___ a good weekend, then.",get,have,take,make,have,B,,focus on form
40,"Woman: Sorry I didn't make it to the party.Man: What happened?Woman: Oh, I ___ really ill so I couldn’t go.",feel,felt,feels,feeling,felt,B,,focus on form
41,"Man: Are you looking forward ___ your holiday next week?Woman: Yes, I can't wait.",in,to,at,for,to,B,,focus on form
42,Man: Whose is that money on the table?Woman: It’s ___. I forgot that I left it there last night.,his,mine,ours,yours,mine,B,,focus on form
43,"Man: Do you know Teresa?Woman: Yes, I met her a couple of months ___.",ago,past,away,since,ago,A,,focus on form
44,"Boy: Shall we go to the movie tonight?Girl: No, we ___ finish our homework first. It has to be in tomorrow.",might,would,could,should,should,D,,focus on form
45,Girl: What did you give your little brother for his birthday?Boy: A toy train ___ chocolate.,filled,done,made,covered,made,C,,focus on form
46,"Boy: What have you done to your leg?Girl: Oh, I fell over yesterday and it ___ hurts now.",so,very,quite,really,really,D,,focus on form
48,Woman: I can’t afford to go away on holiday this year.Man: What ___ instead?Woman: I'm not quite sure yet.,do you do,will you do,have you do,were you doing,will you do,B,,focus on form
49,Man: Does it cost ___ to fly from London to Edinburgh?Woman: I think it's cheaper if you book on the Internet.,many,much,a few,a lot of,much,B,,focus on form
50,"Man: What do you think of Maria?Woman: Well, she struck me ___ very pleasant.",so,as,for,like,as,B,,focus on form
51,Husband: Has Sam said anything about when I should pick him up from the airport?Wife: Yes. He said ___ you at the airport at five o’clock.,he met,he meets,he’s met,he’d meet,he’d meet,D,,focus on form
52,"Boy: Do you like playing this computer game?Girl: No, ___ boring. Shall we choose something else to play?",they’re,it’s,that’s,this is,it’s,B,,focus on form
53,Woman: How many children ___ you got?Man: Three. Two girls and a boy.,do,did,have,are,have,C,,focus on form
54,"Man: Do you want to come with me to the supermarket?Woman: No, thanks. I don't need ___.",it,something,one,anything,anything,D,,focus on form
55,"Woman: Can I borrow a pen?Man: Sorry, I ___ have one.",didn't,haven't got,won't,don't,don't,D,,focus on form
56,"Girl: Could I ___ your pen for a minute?Boy: Yeah, sure!",borrow,borrowed,lend,lent,borrow,A,,focus on form
57,Boy: Do you eat brown bread?Girl: Not really. I ___ white better.,like,want,prefer,eat,like,A,,focus on form
58,Man: ___ wrong?Woman: I don't feel very well.,How’s,What’s,Are you,What’s the,What’s,B,,focus on form
59,Woman: I always travel by bus.Man: Why?Woman: Because it’s ___ than the train.,much cheaper,as cheap,more cheap,cheap,much cheaper,A,,focus on form
60,"Man: Is Anna here today?Woman: No, ___ at home on Tuesdays.",she is working,she would work,she works,she work,she works,C,,focus on form
61,Woman: ___ do you do?Man: I'm a chef in a French restaurant.,How,Where,What,Whose,What,C,,focus on form
62,Girl: Is Sam ___ than you now?Boy: Yes. He's grown a lot recently.,taller,the tallest,more taller,tall,taller,A,,focus on form
63,Woman: Where did you get that book?Man: Peter gave it to ___ yesterday.,me,my,mine,myself,me,A,,focus on form
64,"Boy: When ___ George start learning Spanish?Girl: About two years ago, I think.",did,will,was,does,did,A,,focus on form
65,"Woman: Would you like another coffee?Man: No thanks, I’ve had ___.",any,some,much,enough,enough,D,,focus on form
66,Girl: What are your plans for the weekend?Boy: I ___ to the cinema with Kirsty.,go,went,will going,am going,am going,D,,focus on form
67,Man: How long have you been in Australia?Woman: Two months.Man: And do you ___ it in Sydney?,like,live,love,stay,like,A,,focus on form
68,Woman: I always look forward to the summer holidays.Man: So ___ I.,do,am,can,have,do,A,,focus on form
69,"Woman: I’m going to the mountains at the weekend, but I haven't got any climbing boots.Man: Oh, do you want to borrow ___?",my,me,mine,mines,mine,C,,focus on form
70,Waiter: Who ordered the soft drink?Man: I did.Waiter: ___ . Enjoy!,Right,Here you are,Who is it?,There,Here you are,B,,focus on form
71,Woman: You look a bit stressed. What’s the matter?Man: I’m worried ___ my job interview next week.,to,for,of,about,about,D,,focus on form
72,Woman: How far is ___ to the bus stop?Man: Just a couple of blocks away.,it,that,this,there,it,A,,focus on form
73,"Man: What did you think of Paul’s girlfriend?Woman: I thought she was ___ nice, but she talks all the time.",much,quite,some,enough,quite,B,,focus on form
74,Man: These two coats look the same. Which one is yours?Woman: I think mine’s the one ___ the right.,to,in,for,on,on,D,,focus on form
75,"Girl: How often do you play football?Boy: Actually, I ___ play football.",often,never,always,usually,never,B,,focus on form
76,Man: Do you spell your name with ___ without an “e”?Woman: It’s Anne with an “e”.,or,for,but,and,or,A,,focus on form
77,Woman: Where did you ___ last night?Man: A new pizzeria in town.,go,been,went,going,go,A,,focus on form
78,"Salesperson: I’m sorry, were you waiting a long time?Customer: No, I’ve only been here ___ a few minutes.",since,from,for,in,for,C,,focus on form
79,"Woman: Did you and Sally go to the meeting last night?Man: No, ___ couldn’t go. Sally wasn’t well.",she,they,we,I,we,C,,focus on form
80,Man: What do you usually ___ in the evenings?Woman: I like to watch Netflix.,do,doing,done,did,do,A,,focus on form
81,"Man: ___ I speak to Mr. Brown, please?Woman: He’s not here, I’m afraid.",Would,Could,Do,Should,Could,B,,focus on form
82,"Girl: I thought it was a bit boring.Boy: Me too. The other team didn’t get the ball very much, ___?",are they,didn’t they,do they,did they,did they,D,,focus on form
83,"Man: Do you like Rosie?Woman: She’s OK but she doesn’t say much.Man: Yes, she’s a bit ___.",shy,silly,kind,calm,shy,A,,focus on form
84,Boy: What’s the homework for tonight?Girl: The teacher ___ us to revise the irregular verbs.,gave,told,spoke,talked,told,B,,focus on form
85,"Man: The music was fantastic, wasn’t it?Woman: Yes, it was the best concert I’ve ___ been to.",never,ever,just,already,ever,B,,focus on form
86,Woman: Is ___ any cake in the fridge?Man: Yes. Help yourself.,it,here,that,there,there,D,,focus on form
87,"Wife: I can’t find my keys anywhere!Husband: Oh, look! They’re ___ the kitchen floor.",on,by,at,in,on,A,,focus on form
88,Man: She is great! I can’t get ___ how focused her students are!Woman: Yes! They really like her class!,by,after,over,between,over,C,,focus on form
89,"Man: Beautiful curtains!Woman: Thanks, I made them ___.",myself,me,my me,my,myself,A,,focus on form
90,Man: I’ve had almost no energy for three days now.Woman: Then you ___ stay home from work. You need to rest.,had to,would best,had better,would better,had better,C,,focus on form
91,"Woman: You play the piano, ___ you?",do,don’t,are,aren’t,don’t,B,,focus on form
92,"Man: Will you be at John’s party tomorrow?Woman: Well, I’ll come ___ I finish work in time.",if,while,when,unless,if,A,,focus on form
93,Woman: Do you know Tony?Man: Is he the one ___ son is a doctor?Woman: That’s him!,who,whom,which,whose,whose,D,,focus on form
94,Woman: You play the piano beautifully!Man: Thank you! ___ you like me to play another song?,Should,Do,Would,Will,Would,C,,focus on form
95,Man: How’s your lunch?Woman: There ___ be a lot of pepper in this dish. It is very spicy!,can,would,must,should,must,C,,focus on form
97,"Woman: Is your sister ___ television?Man: No, she is not.",watch,watches,to watch,watching,watching,D,,focus on form
98,Woman: What’s the name of Sam’s new baby?Man: I think she ___ Linda.,names,named,will name,was named,was named,D,,focus on form
99,Woman: Come in – you look a bit cold.Man: Thanks – the wind’s so strong it nearly blew my hat ___ .,out,off,on,down,off,B,,focus on form
100,"Woman: Look at this picture of my brother’s new baby.Man: You know, he looks just ___ your brother.",as,too,like,same,like,C,,focus on form
101,Man: What exactly do you want?Woman: I would like to see you ___ a good job on the project.,to do,doing,having done,do,do,D,,focus on form
102,Woman: Hello! Can I ___ a message for Jim?Man: Hang on! Just let me find a pen.,say,give,drop,leave,leave,D,,focus on form
103,Man: What’s wrong?Woman: My car ___ .,can’t start,isn’t starting,won’t start,doesn’t starting,won’t start,C,,focus on form
104,"Man: I failed the test.Woman: Frankly, it’s ___ surprise to me.",none,no,any,not,no,B,,focus on form
105,"Woman: Good morning. May I help you?Man: Yes, I ___ that you sell laptop computers. Where can I find them?",was telling,been told,was told,did tell,was told,C,,focus on form
106,Boy: Do you like playing this computer game?Girl: ___ boring. Shall we choose something else to play?,It’s,They’re,I’m,You’re,It’s,A,,focus on form
107,"Woman: My coworkers are always arguing. Should I say something?Man: If I were you, I’d ___ out of it.",put,stay,hold,move,stay,B,,focus on form
108,Woman: There is a green scarf on the chair. ___ is it?Man: It isn’t mine. It might be Ben’s.,Who,Whom,Which,Whose,Whose,D,,focus on form
109,"Wife: Do you fancy going to that new restaurant in town?Husband: Oh, I’m really tired. Let’s ___ this evening.",in,at,out,about,out,C,,focus on form
110,"Woman: Oh dear, I’ve left my gloves in the car.Man: Don’t worry, I’ll get ___ for you.",it,them,some,ones,them,B,,focus on form
111,Woman: Why did you decide to ___ another job?Man: I wasn’t happy with the one I had.,look at,look after,look for,look into,look for,C,,focus on form
112,Woman: ___ of my friends can speak French very well.Man: Neither can mine.,No one,Nobody,No,None,None,D,,focus on form
114,Man: I don’t feel very well.Woman: It sounds like you might be ___ a cold.,doing,having,feeling,getting,getting,D,,focus on form
115,Woman: Do you know what I really like about the weekends?Man: What?Woman: ___ have to get up early.,I don’t,I can’t,I mustn’t,I didn’t,I don’t,A,,focus on form
116,Man: Are those your students?Woman: Neither of the two girls ___ my student.,is,have been,are,were,is,A,,focus on form
117,Woman: Can you tell me where the nearest garage is?Man: Turn right ___ the next crossroads. You can’t miss it.,on,at,in,across,at,B,,focus on form
118,"Man: Did you go out last night?Woman: No, I ___ too tired.",am,were,was,did,was,C,,focus on form
119,Woman: There isn’t ___ to make a cake.Man: Do you want me to get it now?,enough sugar,sugar enough,enough of sugar,few sugar,enough sugar,A,,focus on form
120,Woman: ___ your brother spend Christmas with you?Man: Every year.,Do,Does,Have,Has,Does,B,,focus on form
121,"Woman: Do you like your new job?Man: Yes, but my employer insists that I ___ on time.",was,am,be,have been,be,C,,focus on form
122,Man: It is dark in here.Woman: I will turn ___ the light.,on,out,over,off,on,A,,focus on form
123,Woman: ___ do you visit your hometown?Man: Once a year.,How long,How far,How often,How,How often,C,,focus on form
124,Man: When did you realize ___ your purse?Woman: When I tried to pay for my lunch.,you lost,you lose,you’d lost,you have lost,you’d lost,C,,focus on form
125,"Man: ___ you play the violin in school last year?Woman: No, I played the piano.",Did,Are,Have,Were,Did,A,,focus on form
126,"Man: Why don’t you take the bus to work?Woman: Well, I ___, but it was just so slow.",have to,need to,used to,want to,used to,C,,focus on form
127,"Man: Can you work late tonight? There are still some emails to be sent out.Woman: I’m more than ___ to help, but I have to leave by 6 p.m. at the latest.",will,will be,willing,be willing,willing,C,,focus on form
128,Boy: Why ___ you going swimming with us tomorrow?Girl: I’m just too busy.,haven’t,aren’t,don’t,can’t,aren’t,B,,focus on form
129,"Woman: Have you finished moving out of your old apartment?Man: Yes, the only thing I have left ___ is take my name off the mailbox.",do,done,to do,for doing,to do,C,,focus on form
130,Boy: Do you like playing this computer game?Girl: Not really. Do you have ___ else?,anything,one thing,everything,another thing,anything,A,,focus on form
131,"Boy: Have you seen Maria?Girl: Sorry, I don’t know where she ___.",is,was,been,being,is,A,,focus on form
132,Man: Has Julia ___ you her new email address yet?Woman: Yes. I’ll send it to you.,give,gave,given,giving,given,C,,focus on form
133,"Woman: Sorry I didn’t come to your party.Man: What happened?Woman: Oh, I ___ sick, so I went to sleep.",felt,feel,feels,feeling,felt,A,,focus on form
135,"Man: Do you know Maria?Woman: Yes, I met her two months ___.",ago,past,away,since,ago,A,,focus on form
136,"Man: Richard ___ the doctor every year.Woman: I should do that, too.",saw,sees,seen,seeing,sees,B,,focus on form
137,"Teacher: Are you an Italian citizen?Student: No, I was born ___ the United States.",in,to,at,on,in,A,,focus on form
138,Man: Jeff keeps ___ at his watch.Woman: I know. He has an important meeting to go to.,look,to look,looking,to looking,looking,C,,focus on form
139,Woman: ___ coat is this?Man: I don’t know. It’s not mine.,Who,Who’s,Whom,Whose,Whose,D,,focus on form
140,Man: I didn’t like the movie very much. Did you?Woman: No. It was one of the ___ I’ve ever seen.,worst,worse,bad,badly,worst,A,,focus on form
141,Man: It’s hot in here. We need some fresh air.Woman: But I ___ the window five minutes ago.,opened,opening,had opened,was opening,opened,A,,focus on form
142,"Man: Jenny’s really good at drawing, isn’t she?Woman: Well, her mom’s an illustrator and her dad’s an architect, so I guess she can’t help but ___ artistic.",be,been,to be,being,being,D,,focus on form
144,"Woman: Hello, Simon. ___ are you?Man: I'm fine, thank you.",Why,Who,How,Where,How,C,,focus on form
145,Man: What time do you go to work?Woman: I leave my house ___ 7 a.m. in the morning.,on,in,to,at,at,D,,focus on form
147,Man: Can I tell you what I bought you for your birthday?Woman: No. Don't tell me. It's ___ exciting that way.,more,most,the more,the most,more,A,,focus on form
148,Man: Good morning. I'd like to get a ticket to New York.Woman: Of course. ___ would you like to fly?,Why,When,Who,Where,When,B,,focus on form
149,Man: Why do you like your job?Woman: Mostly ___ my boss. She's great.,with respect to,in support of,according to,because of,because of,D,,focus on form
150,"Daughter: Mom, do you recycle these bottles?Mother: Yes, but ___ a minute. We need to wash them first.",come by,come up,hang on,hang in,hang on,C,,focus on form
151,Mother: Why did you get home so late?Son: I stopped ___ to my friend at school.,to be talking,have a talk,talking,to talk,to talk,D,,focus on form
152,Girl: Is Sam ___ than you now?Boy: Yes. He ___ recently.,taller,as tall,tall,the tallest,taller,A,,focus on form
153,"Boy: Have you seen Maria?Girl: Sorry, I don't know where she ___.",is,was,been,being,is,A,,focus on form
154,"Man: Has the doctor given you any advice on eating better?Woman: Well, she's made me aware of ___ I'm putting on my plate every day.",this,that,what,which,what,C,,focus on form
155,Man: How do you like your new phone?Woman: It's confusing. I'm still getting ___ it.,use,used,to used,used to,used to,D,,focus on form
156,"Man: Are you planning anything for your daughter's first birthday?Woman: We don't know yet, but I'm sure we'll ___ with something special.",come up,catch on,give up,—,come up,A,,focus on form
157,"Man: Are there computers in both classrooms?Woman: I'm sorry, ___ of them have computers.",any,either,neither,—,neither,C,,focus on form
158,"Woman: Are you going to Peter's wedding?Man: No, I ___ invited.",wasn't,hadn't,haven't,—,wasn't,A,,focus on form
159,Woman: You look a little tired. Is there a problem?Man: I'm worried ___ my job interview next week.,at,in,about,—,about,C,,focus on form
161,"Woman: Why don't we go out for dinner more often?Man: Well, if we ___ more time, we'd go out once a week.",had,have,will have,would have,had,A,,focus on form
163,Woman: Where do you live?Man: In Boston. I ___ there for six years now.,live,lived,have lived,was living,have lived,C,,focus on form
164,Man: I ___ to Vietnam last year.Woman: Nice! You always go on great trips.,go,I'll go,went,I've been,went,C,,focus on form
165,Woman: How often do you ride the bus to work?Man: I ___ ride the bus. I walk every day.,often,never,usually,sometimes,never,B,,focus on form
166,Man: What do you ___?Woman: I'm a teacher.,go,try,make,do,do,D,,focus on form
167,Woman: I always like to see snow in the winter.Man: So ___ I.,do,am,can,have,do,A,,focus on form
168,"Man: How is your mother now?Woman: She's much ___, thank you.",better,best,good,well,better,A,,focus on form
170,Woman: ___ do you do? Man: I'm a teacher at a French school.,What,Where,When,Why,What,A,,focus on form
171,"Woman: Is Mark here? Man: No, he ___ 20 minutes ago.",left,leaves,is left,is leaving,left,A,,focus on form