id,passage_title,question,blank_id,answer,explanation
1,Teaching Children to Cook,Do you enjoy cooking? Cooking is ___ fun and useful activity.,20,a,“Activity” เป็นคำนามเอกพจน์นับได้ จึงต้องใช้ article “a”.
2,Teaching Children to Cook,Even young children can learn how ___ make simple dishes.,21,to,โครงสร้าง “learn how to + verb” ใช้เพื่อบอกวิธีทำบางสิ่ง
3,Teaching Children to Cook,"Kids just love working ___ the kitchen, preparing healthy family meals with their parents.",22,in,ใช้ preposition “in” กับสถานที่ภายใน เช่น in the kitchen
4,Teaching Children to Cook,"Of course, they also love eating the delicious food that they cook all ___ themselves!",23,by,สำนวน “by themselves” หมายถึงทำด้วยตัวเอง
5,Teaching Children to Cook,"___ they get home, they can wash any fruits and vegetables.",24,When,“When” ใช้เชื่อมประโยคเพื่อบอกเวลา
6,Teaching Children to Cook,"They can start with a spoon, and break eggs ___ into a bowl.",25,an,“Break an egg” ต้องใช้ article “an” เพราะขึ้นต้นด้วยเสียงสระ
7,Teaching Children to Cook,"You can also teach them to set the table before dinner, and to ___ the dishes after.",26,wash,หลัง “to” ใช้รูปกริยาช่องที่ 1
8,Teaching Children to Cook,"They will ___ happy and proud, and they'll learn something, too.",27,be,หลัง modal “will” ใช้ verb base form “be”
9,Mary and Lillian's Friendship,Mary ___ Lillian are best friends.,20,and,ใช้ “and” เชื่อมคำนามสองตัว
10,Mary and Lillian's Friendship,They went ___ the same elementary school in Philadelphia.,21,to,ใช้ “go to school” เป็นโครงสร้างปกติ
11,Mary and Lillian's Friendship,Now Mary and Lillian ___ adults and live in Chicago.,22,develop,ใช้กริยาหมายถึงเติบโตพัฒนาเป็นผู้ใหญ่
12,Mary and Lillian's Friendship,Mary is 23 ___ nurse and Lillian works in marketing.,23,a,ใช้ article “a” กับอาชีพ
13,Mary and Lillian's Friendship,Lillian ___ one daughter and two sons.,24,have,ใช้กริยา “have” แสดงความเป็นเจ้าของ
14,Mary and Lillian's Friendship,Mary is more active ___ Lillian.,25,than,ใช้ comparative structure “more … than”
15,Mary and Lillian's Friendship,Mary likes swimming ___ doing yoga.,26,and,ใช้ “and” เชื่อมกิจกรรมสองอย่าง
16,Mary and Lillian's Friendship,Lillian prefers to ___ television.,27,watch,โครงสร้าง “prefer to + verb”
17,No More Flies,People ___ not want flies around their houses.,20,do,ใช้ “do not want” เป็นรูปปฏิเสธของ present simple
18,No More Flies,The best way of reducing the fly population is ___ find out where their food comes from.,21,to,โครงสร้าง “the way to + verb”
19,No More Flies,___ remove it.,22,and,ใช้ “and” เชื่อมการกระทำสองอย่าง
20,No More Flies,"However, ___ this doesn't work, you can try hanging clear plastic bags.",23,when,ใช้ “when” เพื่อบอกเงื่อนไขเวลา
21,No More Flies,___ are filled with water over the door.,24,there,ใช้โครงสร้าง “there are”
22,No More Flies,although nobody knows exactly ___ this works.,25,how,ใช้ “how” เพื่อถามวิธีการ
23,No More Flies,they think it's a lake ___ a pond.,26,or,ใช้ “or” เพื่อแสดงทางเลือก
24,No More Flies,"But whatever the reason might ___, lots of people are sure it works.",27,prove,ใช้ “prove” หมายถึงพิสูจน์เหตุผล
25,Family Weekend,John Jones lives ___ the United States with his wife Mary.,20,in,ใช้ “in” กับประเทศ
26,Family Weekend,"with ___ wife, Mary.",21,my,ใช้ possessive adjective
27,Family Weekend,They ___ two children.,22,have,ใช้ “have” แสดงความเป็นเจ้าของ
28,Family Weekend,Sally ___ Billy.,23,and,ใช้ “and” เชื่อมชื่อ
29,Family Weekend,The Jones family spends a lot ___ time together.,24,of,โครงสร้าง “a lot of”
30,Family Weekend,The family often goes ___ the park.,25,to,ใช้ “go to” กับสถานที่
31,Family Weekend,Mary likes to sit ___ a park bench.,26,at,ใช้ “sit at” กับตำแหน่ง
32,Family Weekend,Sometimes she ___ a piece of bread to give to the birds.,27,is,ใช้ “is” ในโครงสร้าง present
33,Dear Tim,How are you? I ___ a bad cold last week.,20,had,ใช้ past simple เพราะมี “last week”
34,Dear Tim,Can you come ___ our house for lunch on Saturday?,21,to,ใช้ “come to”
35,Dear Tim,Sarah and John ___ be there.,22,will,ใช้ future simple
36,Dear Tim,My sister said she will bake a cake ___ him.,23,for,ใช้ “for” เพื่อบอกผู้รับ
37,Dear Tim,Can you please bring a few bottles ___ soda?,24,of,โครงสร้าง “bottles of”
38,Dear Tim,Saturday will ___ a very hot day.,25,be,ใช้ “will be” สำหรับอนาคต
39,Dear Tim,___ will you get to my house – by car or by bus?,26,How,ใช้ “How” ถามวิธี
40,Dear Tim,Call me ___ you need directions.,27,if,ใช้ “if” สำหรับเงื่อนไข